model,version,table,description
omop,v5,observation_period,"Time intervals during which health care information, such as drugs, conditions, and other clinical observations, may be available "
omop,v5,person,Demographic information about a Person 
omop,v5,procedure_occurrence,Procedures carried out on the Person
omop,v5,provider,Information about health care providers 
omop,v5,relationship,"The RELATIONSHIP table provides a reference list of all allowable types of relationships that can be used to associate any two concepts in the concept relationship table. Relationships are classified as hierarchical (parent-child) or non-hierarchical, and are used to determine which concept relationship records should be included in the computation of the concept ancestor table. "
omop,v5,source_to_concept_map,"The SOURCE_TO_CONCEPT_MAP table is a legacy data structure within the OMOP Common Data Model, recommended for use in extract, transform, and load (ETL) processes to maintain local source codes which are not available as concepts in the Standardized Vocabularies, and to establish mappings for each source code into a standard concept that can be used to populate the Common Data Model tables. The source to concept map table is no longer populated with content within the Standardized Vocabularies published to the OMOP community. "
omop,v5,visit_occurrence,Visits for health care services of the Person
omop,v5,visit_payer,The visit payer table documents insurance information as it relates to a visit in visit_occurrence. For this reason the key of this table will be visit_occurrence_id and visit_payer_id.
omop,v5,vocabulary,The VOCABULARY table includes a list of the vocabularies collected from various sources or created de novo by the OMOP community. This reference table is populated with a single record for each vocabulary source and includes a descriptive name and other associated attributes for the vocabulary.
omop,v5,adt_occurrence,"The adt_occurrence table contains information about distinct admission, discharge, or transfer events that occur as part of a clinical visit."
omop,v5,dose_era,A Dose Era is defined as a span of time when the Person is assumed to be exposed to a constant dose of a specific active ingredient.
omop,v5,drug_era,A Drug Era is defined as a span of time when the Person is assumed to be exposed to a particular active ingredient.
omop,v5,condition_era,A Condition Era is defined as a span of time when the Person is assumed to have a given condition. 
omop,v5,attribute_definition,The ATTRIBUTE_DEFINITION table contains records to define each attribute through an associated description syntax.
omop,v5,cdm_source,The CDM_SOURCE table contains detail about the source database and the  process used to transform the data into the OMOP common data model.
omop,v5,cohort_attribute,"The cohort_attribute table contains attributes assoicated with each subject within a cohort, as defined by a given set of inclusion criteria for a duration of time."
omop,v5,cohort_definition,The cohort definition table contains records to define each derived cohort through an associated description and syntax.
omop,v5,cohort,The COHORT table contains records derived as a set of subjects that satisfy a given set of inclusion criteria for a duration of time.
omop,v5,device_cost,The DEVICE_COST table captures the cost of a medical device or supply used on a Person.
omop,v5,device_exposure,The device exposure domain captures records about a person’s inferred exposure to a foreign physical object or instrument that which is used for diagnostic or therapeutic purposes through a mechanism beyond chemical action.
omop,v5,drug_cost, The Drug Cost table captures records indicating the cost of a Drug Exposure.
omop,v5,note,The NOTE table captures unstructured information that was recorded by a provider or a patient in free text notes on a given date.
omop,v5,payer_plan_period,The PAYER_PLAN_PERIOD table captures records that detail the period of time that a person is continuously enrolled under a specific health plan benefit structure from a given payer.
omop,v5,procedure_cost,The PROCEDURE_COST table captures the cost of a Procedure performed on a Person.
omop,v5,specimen, The specimen domain contains the records identifying each biological sample from a person.
omop,v5,visit_cost,"The Visit Cost table captures the costs of health visit of a patient which are not itemized to specific procedures, drugs, or devices used within the encounter."
