TABLE_NAME,FIELD_NAME,DATA_TYPE,DATA_FORMAT,REPLICATED,UNIT_OF_MEASURE,VALUE_DESCRIPTION,DEFINITION,CDM_ORDER
LAB_RESULT_CM,RAW_FACILITY_CODE,TEXT(x),,NO,,,Local facility code that identifies the hospital or clinic. Taken from facility claims.,114
CONDITION,PATID,TEXT(x),,YES,,,Arbitrary person-level identifier. Used to link across tables.,115
CONDITION,ENCOUNTERID,TEXT(x),,NO,,,"Arbitrary encounter-level identifier used to link across tables. This is an optional field, and should only be populated if the item was collected as part of a healthcare encounter.",116
CONDITION,REPORT_DATE,TEXT(10),YYYY-MM-DD,YES,DATE,,Date condition was noted. Please note that this date may not correspond to onset date.,117
CONDITION,RESOLVE_DATE,TEXT(10),YYYY-MM-DD,NO,DATE,,"Date condition was resolved, if resolution of a transient condition has been achieved. A resolution date is not generally expected for chronic conditions, even if the condition is managed.",118
CONDITION,CONDITION_STATUS,TEXT(2),,NO,,"AC = Active RS = Resolved IN = Inactive NI = No information UN = Unknown OT = Other","Condition status corresponding with REPORT_DATE.  Guidance: The value of IN=Inactive may be used in situations where a condition is not resolved, but is not currently active (for example, psoriasis).",119
CONDITION,CONDITION,TEXT(18),,YES,,,"Condition code.  Leading zeroes and different levels of decimal precision are permissible in this field. Please populate the exact textual value of this diagnosis code, but remove source-specific suffixes and prefixes. Other codes should be listed as recorded in the source data.",120
CONDITION,CONDITION_TYPE,TEXT(2),,YES,,"09 = ICD-9-CM 10 = ICD-10-CM 11 = ICD-11-CM SM = SNOMED CT HP = Human Phenotype Ontology NI = No information UN = Unknown OT = Other","Condition code type.  Please note: The “Other” category is meant to identify internal use ontologies and codes.",121
CONDITION,CONDITION_SOURCE,TEXT(2),,NO,,"PR = Patient-reported medical history HC = Healthcare problem list RG = Registry cohort NI = No information UN = Unknown OT = Other","Please note: The “Patient-reported” category can include reporting by a proxy, such as patient’s family or guardian.  Guidance: “Registry cohort” generally refers to cohorts of patients flagged with a certain set of characteristics for management within a health system.  “Patient-reported” can include self-reported medical history and/or current medical conditions, not captured via healthcare problem lists or registry cohorts.",122
CONDITION,RAW_CONDITION_STATUS,TEXT(x),,NO,,,"Optional field for originating value of field, prior to mapping into the PCORnet CDM value set.",123
CONDITION,RAW_CONDITION,TEXT(x),,NO,,,"Optional field for originating value of field, prior to mapping into the PCORnet CDM value set.",124
CONDITION,RAW_CONDITION_TYPE,TEXT(x),,NO,,,"Optional field for originating value of field, prior to mapping into the PCORnet CDM value set.",125
CONDITION,RAW_CONDITION_SOURCE,TEXT(x),,NO,,,"Optional field for originating value of field, prior to mapping into the PCORnet CDM value set.",126
PRO_CM,PATID,TEXT(x),,YES,,,Arbitrary person-level identifier for the patient for whom the PRO response was captured. Used to link across tables.,127
PRO_CM,ENCOUNTERID,TEXT(x),,NO,,,"Arbitrary encounter-level identifier used to link across tables. This is an optional field, and should only be populated if the item was collected as part of a healthcare encounter.",128
PRO_CM,PRO_ITEM,TEXT(7),,YES,,"PN_0001 = GLOBAL01
PN_0002 = GLOBAL02
PN_0003 = GLOBAL06
PN_0004 = PFA53
PN_0005 = EDDEP29
PN_0006 = HI7
PN_0007 = SLEEP20
PN_0008 = SRPPER11_CAPS
PN_0009 = PAININ9
PN_0010 = 3793R1
PN_0011 = 28676R1
PN_0012 = EOS_P_011
PN_0013 = PEDSGLOBAL2
PN_0014 = PEDSGLOBAL5
PN_0015 = PEDSGLOBAL6
PN_0016 = GLOBAL03
PN_0017 = GLOBAL04
PN_0018 = EDANX53
PN_0019 = SAMHSA
PN_0020 = CAHPS
PN_0021 = PA070",PCORnet identifier for the specific Common Measure item. Please see the Common Measures reference table for more details.,129
PRO_CM,PRO_LOINC,TEXT(10),,NO,,,"LOINC code for item context and stem. Please see the reference table for known LOINC codes for each common measure. 
Logical Observation Identifiers, Names, and Codes (LOINC) from the Regenstrief Institute. Results with local versions of LOINC codes (e.g., LOINC candidate codes) should be included in the RAW_ table field, but the PRO_LOINC variable should be set to missing. Current LOINC codes are from 3-7 characters long but Regenstrief suggests a length of 10 for future growth. The last digit of the LOINC code is a check digit and is always preceded by a hyphen. All parts of the LOINC code, including the hyphen, must be included. Do not pad the LOINC code with leading zeros.",130
PRO_CM,PRO_DATE,TEXT(10),YYYY-MM-DD,YES,DATE,,The date of the response. ,131
PRO_CM,PRO_TIME,TEXT(5),HH:MI (24-hour clock and zero padding),YES,TIME,,The time of the response. ,132
PRO_CM,PRO_RESPONSE,NUMBER(8),,NO,,,The numeric response recorded for the item. Please see the Common Measures reference table for the list of valid responses for each item.,133
PRO_CM,PRO_METHOD,TEXT(2),,NO,,"PA = Paper
EC = Electronic
PH = Telephonic
IV = Telephonic with interactive voice response (IVR) technology
NI = No information
UN = Unknown
OT = Other","Method of administration. Electronic includes responses captured via a personal or tablet computer, at web kiosks, or via a smartphone.",134
PRO_CM,PRO_MODE,TEXT(2),,NO,,"SF = Self without assistance
SA =  Self with assistance
PR = Proxy without assistance
PA = Proxy with assistance
NI = No information
UN = Unknown
OT = Other","The person who responded on behalf of the patient for whom the response was captured. A proxy report is a measurement based on a report by someone other than the patient reporting as if he or she is the patient, such as a parent responding for a child, or a caregiver responding for an individual unable to report for themselves. Assistance excludes providing interpretation of the patient’s response. ",135
PRO_CM,PRO_CAT,TEXT(2),,NO,,"Y = Yes
N = No
NI = No information
UN = Unknown
OT = Other",Indicates whether Computer Adaptive Testing (CAT) was used to administer the survey or instrument that the item was part of. May apply to electronic (EC) and telephonic (PH or IV) modes. ,136
PRO_CM,RAW_PRO_CODE,TEXT(x),,NO,,,"Optional field for originating code, such as LOINC candidate codes that have not yet been adopted",137
PRO_CM,RAW_PRO_RESPONSE,TEXT(x),,NO,,,"Optional field for originating value of field, prior to mapping into the PCORnet CDM value set.",138
