Table,Field,Required,Ref Table,Ref Field,Type,Definition
i2b2,c_operator,Yes,,,text(10),Used to help construct a metadata SELECT SQL query that runs behind the scenes. The intent of this query is to link the dimension tables to the fact table for a given term. As a result every metadata SELECT SQL statement should return a fact table key. The C_OPERATOR is any valid SQL operator used in the WHERE clause of the metadata SELECT SQL query.
i2b2,c_dimcode,Yes,,,text(700),Used to help construct a metadata SELECT SQL query that runs behind the scenes. The intent of this query is to link the dimension tables to the fact table for a given term. As a result every metadata SELECT SQL statement should return a fact table key. The C_DIMCODE is the actual value of the dimension table C_COLUMNNAME that we are querying for.
i2b2,c_comment,No,,,text(x),The C_COMMENT is an optional column to store miscellaneous comments about the term.
i2b2,c_tooltip,No,,,text(900),The C_TOOLTIP is the tooltip that appears in the user interface for a given term. It is usually the C_FULLNAME with spaces around the backslash ('\') for readability.
i2b2,m_applied_path,Yes,,,text(700),"Introduced in 1.6 to support modifier term within the metadata table, the M_APPLIED_PATH is the CONCEPT_PATH that the term applies to. Traditional (non-modifier) concept terms have a M_APPLIED_PATH of '@'. An M_APPLIED_PATH of '\Diagnoses\Circulatory system\%' means that the term is a modifier that applies to the term(s) with C_FULLNAME of '\Diagnoses\Circulatory system\' and all its descendants, whereas a M_APPLIED_PATH of '\Diagnoses\Circulatory system\' applies to the term with C_FULLNAME of '\Diagnoses\Circulatory system\' only."
i2b2,update_date,Yes,,,timestamp,The UPDATE_DATE is the date the data was updated.
i2b2,download_date,No,,,timestamp,The DOWNLOAD_DATE is the date the data was downloaded.
i2b2,import_date,No,,,timestamp,The IMPORT_DATE is the date the data was imported.
i2b2,sourcesystem_cd,No,,,text(50),The SOURCESYSTEM_CD is a coded value for the source system from which the data was loaded or derived.
i2b2,valuetype_cd,No,,,text(50),The VALUETYPE_CD is a coded value indicating the type of term. At present there are two values in use: 'DOC' indicates the terms represents documents or notes.  'LAB' indicates the term is of a laboratory test nature
i2b2,m_exclusion_cd,No,,,text(25),"Introduced in 1.6 to support modifier terms within the metadata table, a non-null ('X') M_EXCLUSION_CD indicates the modifier is to be excluded from the specified applied path. Traditional concept terms and non-exclusion modifiers have an M_EXCLUSION_CD of null. An M_APPLIED_PATH of '\Diagnoses\Circulatory system\%' and M_EXCLUSION_CD of 'X' means that the term is a modifier that is excluded from the term(s) with C_FULLNAME of '\Diagnoses\Circulatory system\' and all its descendants, whereas a M_APPLIED_PATH of '\Diagnoses\Circulatory system\' applies to the term with C_FULLNAME of '\Diagnoses\Circulatory system\' only.
"
i2b2,c_path,No,,,text(700),"A subset of C_FULLNAME; its meant to contain the C_FULLNAME of the node's parent. A node's C_PATH, concatenated with its C_SYMBOL (below) form the node's C_FULLNAME."
i2b2,c_symbol,No,,,text(50),"The C_SYMBOL is a unique, abbreviated form of the node's C_NAME. A nodes C_SYMBOL, prepended with its C_PATH (above) for the node's C_FULLNAME."
