target_model,target_version,target_table,target_field,source_model,source_version,source_table,source_field,comment
pcornet,v1,ENROLLMENT,PATID,omop,v4,observation_period,person_id,
pcornet,v1,ENROLLMENT,ENR_START_DATE,omop,v4,observation_period,observation_start_date,
pcornet,v1,ENROLLMENT,ENR_END_DATE,omop,v4,observation_period,observation_end_date,
pcornet,v1,ENROLLMENT,CHART,omop,v4,observation,value_as_concept_id,Explicitly maps to concept_id 4030450 in the “Chart Availability” concept class.
pcornet,v1,ENROLLMENT,BASIS,omop,v4,,,
pcornet,v1,DIAGNOSIS,PATID,omop,v4,condition_occurrence,person_id,
pcornet,v1,DIAGNOSIS,ENCOUNTERID,omop,v4,condition_occurrence,visit_occurrence_id,
pcornet,v1,DIAGNOSIS,ENC_TYPE,omop,v4,encounter,enc_type,
pcornet,v1,DIAGNOSIS,ADMIT_DATE,omop,v4,encounter,admit_date,
pcornet,v1,DIAGNOSIS,PROVIDERID,omop,v4,encounter,provider_id,
pcornet,v1,DIAGNOSIS,DX,omop,v4,condition_occurrence,condition_concept_id,
pcornet,v1,DIAGNOSIS,DX_TYPE,omop,v4,,,
pcornet,v1,DIAGNOSIS,DX_SOURCE,omop,v4,,,
pcornet,v1,DIAGNOSIS,PDX,omop,v4,,,
pcornet,v1,DIAGNOSIS,RAW_DX,omop,v4,,,
pcornet,v1,DIAGNOSIS,RAW_DX_TYPE,omop,v4,,,
pcornet,v1,DIAGNOSIS,RAW_DX_SOURCE,omop,v4,,,
pcornet,v1,DIAGNOSIS,RAW_PDX,omop,v4,,,
pcornet,v1,PROCEDURE,PATID,omop,v4,procedure_occurrence,person_id,
pcornet,v1,PROCEDURE,ENCOUNTERID,omop,v4,procedure_occurrence,visit_occurrence_id,
pcornet,v1,PROCEDURE,ENC_TYPE,omop,v4,encounter,enc_type,
pcornet,v1,PROCEDURE,ADMIT_DATE,omop,v4,encounter,admit_date,
pcornet,v1,PROCEDURE,PROVIDERID,omop,v4,encounter,provider_id,
pcornet,v1,PROCEDURE,PX,omop,v4,procedure_occurrence,procedure_concept_id,
pcornet,v1,PROCEDURE,PX_TYPE,omop,v4,,,
pcornet,v1,PROCEDURE,RAW_PX,omop,v4,,,
pcornet,v1,PROCEDURE,RAW_PX_TYPE,omop,v4,,,
pcornet,v1,VITAL,PATID,omop,v4,observation,person_id,
pcornet,v1,VITAL,ENCOUNTERID,omop,v4,observation,visit_occurrence_id,
pcornet,v1,VITAL,MEASURE_DATE,omop,v4,observation,observation_date,
pcornet,v1,VITAL,MEASURE_TIME,omop,v4,observation,observation_time,
pcornet,v1,VITAL,VITAL_SOURCE,omop,v4,,,
pcornet,v1,VITAL,HT,omop,v4,observation,value_as_number,Explicitly maps to concept_id 3036277.
pcornet,v1,VITAL,WT,omop,v4,observation,value_as_number,Explicitly maps to concept_id 3025315.
pcornet,v1,VITAL,ORIGINAL_BMI,omop,v4,observation,value_as_number,Explicitly maps to concept_id 3038553.
pcornet,v1,VITAL,DIASTOLIC,omop,v4,observation,value_as_number,Explicitly maps to concept_id 3012888.
pcornet,v1,VITAL,SYSTOLIC,omop,v4,observation,value_as_number,Explicitly maps to concept_id 3004249.
pcornet,v1,VITAL,BP_POSITION,omop,v4,observation,target_concept,Maps to the concept_id values under the “BP Position” concept class.
pcornet,v1,VITAL,RAW_VITAL_SOURCE,omop,v4,,,
pcornet,v1,VITAL,RAW_DIASTOLIC,omop,v4,,,
pcornet,v1,VITAL,RAW_SYSTOLIC,omop,v4,,,
pcornet,v1,VITAL,RAW_BP_POSITION,omop,v4,,,
