model,version,table,description
omop,v6.0,observation,"Observations are clinical facts, such as laboratory tests, signs/symptoms, which are not captured within other CDM tables"
omop,v6.0,observation_period,"Time intervals during which health care information, such as drugs, conditions, and other clinical observations, may be available "
omop,v6.0,person,Demographic information about a Person 
omop,v6.0,procedure_occurrence,Procedures carried out on the Person
omop,v6.0,provider,Information about health care providers 
omop,v6.0,relationship,"The RELATIONSHIP table provides a reference list of all allowable types of relationships that can be used to associate any two concepts in the concept relationship table. Relationships are classified as hierarchical (parent-child) or non-hierarchical, and are used to determine which concept relationship records should be included in the computation of the concept ancestor table. "
omop,v6.0,source_to_concept_map,"The SOURCE_TO_CONCEPT_MAP table is a legacy data structure within the OMOP Common Data Model, recommended for use in extract, transform, and load (ETL) processes to maintain local source codes which are not available as concepts in the Standardized Vocabularies, and to establish mappings for each source code into a standard concept that can be used to populate the Common Data Model tables. The source to concept map table is no longer populated with content within the Standardized Vocabularies published to the OMOP community. "
omop,v6.0,visit_occurrence,Visits for health care services of the Person
omop,v6.0,visit_detail,"The VISIT_DETAIL table is an optional table used to represents details of each record in the parent visit_occurrence table. For every record in visit_occurrence table there may be 0 or more records in the visit_detail table with a 1:n relationship where n may be 0. The visit_detail table is structurally very similar to visit_occurrence table and belongs to the similar domain as the visit."
omop,v6.0,vocabulary,The VOCABULARY table includes a list of the vocabularies collected from various sources or created de novo by the OMOP community. This reference table is populated with a single record for each vocabulary source and includes a descriptive name and other associated attributes for the vocabulary.
omop,v6.0,dose_era,A Dose Era is defined as a span of time when the Person is assumed to be exposed to a constant dose of a specific active ingredient.
omop,v6.0,drug_era,A Drug Era is defined as a span of time when the Person is assumed to be exposed to a particular active ingredient.
omop,v6.0,condition_era,A Condition Era is defined as a span of time when the Person is assumed to have a given condition. 
omop,v6.0,cdm_source,The CDM_SOURCE table contains detail about the source database and the  process used to transform the data into the OMOP common data model.
omop,v6.0,cohort_definition,The cohort definition table contains records to define each derived cohort through an associated description and syntax.
omop,v6.0,cohort,The COHORT table contains records derived as a set of subjects that satisfy a given set of inclusion criteria for a duration of time.
omop,v6.0,cost,"The COST table captures records containing the cost of any medical entity recorded in one of the DRUG_EXPOSURE, PROCEDURE_OCCURRENCE, VISIT_OCCURRENCE or DEVICE_OCCURRENCE tables."
omop,v6.0,device_exposure,The device exposure domain captures records about a person�s inferred exposure to a foreign physical object or instrument that which is used for diagnostic or therapeutic purposes through a mechanism beyond chemical action.
omop,v6.0,note,The NOTE table captures unstructured information that was recorded by a provider or a patient in free text notes on a given date.
omop,v6.0,note_nlp,The NOTE_NLP table will encode all output of NLP on clinical notes. Each row represents a single extracted term from a note.
omop,v6.0,payer_plan_period,The PAYER_PLAN_PERIOD table captures records that detail the period of time that a person is continuously enrolled under a specific health plan benefit structure from a given payer.
omop,v6.0,specimen,The specimen domain contains the records identifying each biological sample from a person.
omop,v6.0,survey_conduct,The SURVEY_CONDUCT table is used to store an instance of a completed survey or questionnaire.
